Median Monthly 2021 Income,Median 2021 Rent,Actual % of Income Spent on Rent 2021
Astoria,7369.45,1999.5,27.132282599108482
Bath Beach,5653.166666666667,1741.5,30.80574309384121
Battery Park City,14845.666666666666,4047.5,27.26384803646407
Bay Ridge,5882.958333333333,1750.0,29.74693854424149
Bayside,7709.86111111111,2025.0,26.2650645817946
Bedford Park,3287.75,1644.0,50.003801992243936
Bedford-Stuyvesant,5359.733333333334,2429.0,45.319418876561016
Belmont,3009.3888888888887,2125.0,70.61234285292326
Bensonhurst,4889.041666666667,1697.0,34.71027894014676
Boerum Hill,11105.75,2800.0,25.212164869549557
Borough Park,5045.895833333333,1800.0,35.67255566611479
Briarwood,5945.5,1725.0,29.013539651837522
Brighton Beach,4889.083333333333,1869.0,38.228025021732094
Bronxwood,3553.25,1659.5,46.703721944698515
Brooklyn Heights,12356.833333333334,2935.5,23.75608637595932
Brownsville,3463.0416666666665,1991.0,57.49281099226354
Bushwick,4738.75,2475.0,52.22896333421261
Canarsie,6130.166666666667,2096.5,34.19972268290694
Carroll Gardens,10136.5,2712.5,26.759729689735117
Central Harlem,4420.883333333333,2375.0,53.72229531805483
Central Park South,8794.833333333334,7087.5,80.58708711554131
Chelsea,10031.333333333334,3790.5,37.78660198046122
Chinatown,7277.708333333333,2461.5,33.82246013797842
Clinton Hill,7626.416666666667,2675.0,35.075450462755555
Cobble Hill,11246.666666666666,2825.0,25.1185536455246
Columbia St Waterfront District,11246.666666666666,2552.5,22.69561351511559
Concourse,2825.9166666666665,1881.5,66.5801657279349
Coney Island,3103.4166666666665,2119.0,68.27958432909965
Corona,5187.833333333333,1871.5,36.07479037491567
Crown Heights,6148.433333333333,2364.0,38.44881894032626
DUMBO,12356.833333333334,4211.5,34.08235659082019
Ditmas Park,5514.416666666667,1975.0,35.81521164221056
Downtown Brooklyn,11731.291666666666,3506.0,29.885882131478848
Dyker Heights,6432.416666666667,1949.5,30.307427224086332
East Flatbush,5117.833333333333,2125.0,41.52147718761195
East Harlem,2769.0,2222.5,80.26363308053449
East New York,3584.194444444445,2124.0,59.260177786733415
East Village,8961.833333333334,3000.0,33.47529337375165
Elmhurst,5172.666666666667,1800.0,34.7982987498389
Financial District,14868.020833333334,3525.0,23.708602775812178
Flatbush,5514.416666666667,2192.5,39.75941849394768
Flatiron,10969.583333333334,4600.0,41.93413605803927
Flushing,4835.833333333333,1950.0,40.32397036015854
Fordham,3163.1666666666665,1766.5,55.84593498076822
Forest Hills,8026.75,1995.0,24.854393122994985
Fort Greene,9678.854166666666,2854.0,29.486961481752534
Glendale,6445.833333333333,2000.0,31.027795733678087
Gowanus,13077.5,2825.0,21.601988147581725
Gramercy Park,11215.333333333334,3050.0,27.19491172799144
Gravesend,4773.416666666667,1800.0,37.70883888200275
Greenpoint,9198.75,2925.0,31.797798613942113
Greenwich Village,11062.833333333334,3350.0,30.281573436581947
Greenwood,6419.25,2206.5,34.37317443626592
Hamilton Heights,4511.194444444444,2300.0,50.98427984704716
Highbridge,2823.0833333333335,1837.5,65.08840806446852
Inwood,4939.625,1874.5,37.94822481463674
Jackson Heights,5242.5,1865.0,35.57463042441583
Jamaica,5854.083333333333,2212.5,37.79413230081567
Jamaica Estates,5520.5,1875.0,33.964314826555565
Kensington,6821.416666666667,1894.0,27.76549348253662
Kew Gardens,6696.666666666667,1880.0,28.073668491786957
Kew Gardens Hills,5955.75,1974.5,33.15283549510977
Kingsbridge,5254.0,1799.5,34.25009516558812
Little Italy,11464.333333333334,2719.5,23.72139679585962
Long Island City,8243.333333333334,3106.5,37.68499797816417
Lower East Side,3091.0833333333335,3050.0,98.67090825762273
Maspeth,7122.0,2100.0,29.486099410278012
Middle Village,7389.333333333333,2100.0,28.41934319740166
Midtown,10230.613636363636,3840.0,37.53440542756033
Midtown East,12181.958333333334,3050.0,25.037025382481602
Midtown South,10043.1,3810.0,37.93649371210084
Midtown West,8488.125,3094.0,36.45092408511892
Midwood,5766.458333333333,1962.5,34.0330214241844
Morningside Heights,6744.791666666667,3250.0,48.18532818532819
Mott Haven,2403.6666666666665,2334.0,97.1016502565525
Nolita,3091.0833333333335,3286.5,106.32194753727117
Norwood,3553.25,1675.0,47.139942306339265
Park Slope,12091.625,2697.5,22.30882945840613
Prospect Heights,10320.666666666666,2850.0,27.61449518764938
Prospect Lefferts Gardens,5711.833333333333,2197.5,38.47276122669312
Prospect Park South,6167.916666666667,2125.0,34.452475849489964
Red Hook,10136.5,2400.0,23.676811522714942
Rego Park,6601.75,2000.0,30.294997538531447
Ridgewood,6445.833333333333,2349.5,36.44990303813833
Riverdale,6642.333333333333,2395.0,36.056606614141614
Rockaway All,6245.883333333334,1999.5,32.01308595261412
Roosevelt Island,9607.833333333334,3196.5,33.26972782625288
Sheepshead Bay,5322.708333333333,1872.0,35.170065364593526
Soho,10631.375,4500.0,42.32754464968078
Soundview,3539.25,2005.5,56.66454757363848
Stuyvesant Town/PCV,8716.083333333334,3840.0,44.05648561567217
Sunnyside,6844.083333333333,1825.0,26.66536789684521
Sunset Park,5586.541666666667,1973.5,35.32596940564004
Tremont,3038.5833333333335,1638.0,53.906699942407364
Tribeca,11464.333333333334,6438.5,56.16113744075829
University Heights,3124.9166666666665,1736.0,55.553481426171366
Upper East Side,11624.583333333334,2485.0,21.377110290691423
Upper West Side,11998.0,3000.0,25.00416736122687
Washington Heights,5038.583333333333,2110.0,41.8768503051453
West Harlem,4448.083333333333,2300.0,51.7076643498136
West Village,11495.916666666666,3450.0,30.01065595755015
Williamsburg,6759.055555555556,2966.0,43.88187041253298
Windsor Terrace,9949.458333333334,2572.5,25.855678910493452
Woodhaven,6393.416666666667,1875.0,29.327042139700993
Woodside,5527.083333333333,1797.5,32.52167357708255
Woodstock,2737.1666666666665,1819.0,66.45558058819948
